Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Dorée,France,Sainte Colombe,6,,,
Pale Ale,France,Guernouillette,,,,Out of date! would like to try again.
McChouffe,Belgium,D'Achouffe,8,,,"Really nice, rich brown ale. One of the best in the world surely."
Blanche,France,Guernouillette,,,,Out of date! would like to try again.
Red Eye Flight,Scotland,Tempest,7,,,"Very good mocha porter; rich flavour, strong and smooth."
Kasteel Tripel,Belgium,Van Honsebroucke,7,,,"Very strong ale, quite sweet but not overwhelming. Really powerful flavour/alcohol."
Mor Braz Blonde,France,Mor Braz,5,,,Interesting caramel taste. Was warm so would like to try again. 
Fosters,Australia,Royal (Heineken),4,,,Not as bad as expected. Very drinkable with some malt in the flavour but otherwise not a lot.
Blanche de Namur,Belgium,Du Bocq,7,,,Solid world-renowned wheat beer. Does it live up to expectations? Probably not but still very refreshing and enjoyable.
Beer 2014,England,Camden Town,8,,,"Strong smoked lager. Got a fairly unique taste, which is a very pleasant one indeed."
Duvel Tripel Hop,Belgium,Duvel Moortgat,9,,,The balance on this one was excellent! Not too hoppy despite the name. A really great beer which I find to be near perfect.
Saison Dupont Biologique,Belgium,Dupont,7,,,"Pretty good, with a very fresh organic taste."
Terenez Blonde,France,Bout du Monde,7,,,"Nice neat label and the beer matches it. Nice rich, clean flavour and great carbonation. Very good."
Petrus Brune,Belgium,Bavik-De Brabandere,8,,,Rich.
Bellerose,France,Des Sources,8,,,"Quite a strong French blonde, very satisfying. One of my favourite French beers."
Bia'5 Bière,Scotland,Bia Bistrot @ Stewart,6,,,"Slightly hoppy, unbalanced yet satisfying."
Knops IPA,Scotland,Knops,7,,,Well-rounded.
Fix Dark,Greece,Olympic,6,,,Surprisingly enjoyable.
Trompe Souris,France,Divatte,5,,,"Disjointed, amateur."
Captain Moore IPA,France,Du Tonnelier,6,,,"Surprisingly solid, enjoyable."
Secret Herb Garden Pale Ale,Scotland,Secret Herb Garden @ Top Out,6,,,
Alba Scots Pine Ale,Scotland,Williams Bros.,8,,,Rich pine flavour.
La Rose des Vents,France,Du Tonnelier,6,,,
Old Speckled Hen,England,Greene King,6,,,Reliable brown ale.
Stella Artois,Belgium,AB InBev,5,,,"Lifeless, disappointing."
Gentleman's Wit,England,Camden Town,8,,,"Rich, refreshing & interesting."
Black Friday,England,Camden Town,6,,,
Camden Pilsner,England,Camden Town,6,,,
India Hells Lager,England,Camden Town,8,,,Great balance and head/body. A hoppy lager but balanced well. A pleasure to drink!
Hells Lager (Unfiltered),England,Camden Town,8,,,Far more interesting flavour. Very good.
Camden Stout,England,Camden Town,7,,,
KEO,Greece,KEO,5,,,Unremarkable.
Sleeping Warrior,Scotland,Arran,6,,,"Strong, rich yet unfinished or would need time to mature?"
Hackney Session IPA,England,Hackney,6,,,
Hells Lager ,England,Camden Town,6,,,"Decent lager, but not great."
Fireside,Scotland,Arran,6,,,Interesting ginger flavour.
Celebrator,Germany,Aying,9,,,"Sublime, dark, great character."
Shoreditch Blonde,England,Redchurch,7,,,Solid and interesting blonde.
Sans Culottes L'Ambrée,France,La Choulette,7,,,Strong but nice taste and moreish!
Jack Back,,,6,,,
Lia Fail,,,6,,,
Fair Maid,,,6,,,
Goose Island IPA,USA,Goose Island Beer Co.,7,,,
Bitter & Twisted,Scotland,Harviestoun,6,,,
Drygate Apple,Scotland,Drygate,8,,,"Very pleasant, apple balanced well with the beer."
Brooklyn Lager,USA,Brooklyn,8,,,"High quality lager, most enjoyable."
Black Cork,Scotland,Knops,6,,,Slightly disappointing but still nice.
Vedett Extra Blond,Belgium,Duvel Moortgat,7,,,
Archerfield Golden Ale,Scotland,Archerfield,7,,,Good quality ale; refreshing.
III,Scotland,Cromarty,8,,,Drank from bottle but still enjoyable. Rich taste.
Budweiser,USA,AB InBev,5,,,
Williams Draught,Scotland,Williams Bros.,7,,,Pleasant and refreshing. Good on draft.
Kronenbourg 1664,France,Kronenbourg (Carlsberg),7,,,One of the better widely available beers.
Duchess Anne Triple,France,Lancelot,7,,,"Quite good, strong but great taste."
Orval,Belgium,Orval,6,,,Very dry and bitter. Enjoyed towards end but still unsure.
Black Isle Blonde,Scotland,Black Isle,7,,,Another good quality blonde on draft.
Milestone Special Reserve,Scotland,Arran,6,,,Slightly vinegary and amateurish but otherwise nice.
Blue Moon,USA,Coors Brewing Co. (MillerCoors),7,,,Quite sweet and smooth. Pleasant.
Barney's Red Rye,Scotland,Barney's,6,,,
Barney's IPA,Scotland,Barney's,7,,,"Not too strong, has a great flavour."
Drygate IPA,Scotland,Drygate,7,,,
Becks,Germany,Beck's (AB InBev),6,,,
Amarillo,Scotland,De Mollen,9,,,An excellent strong IPA. Perfect?
Edinburgh Festival,Scotland,Stewart,7,,,
East Coast IPA,England,Greene King,7,,,
Hipsway,Scotland,Williams Bros.,7,,,"Subtle strawberry taste, all round nice beer."
Kelpie,Scotland,Williams Bros.,7,,,
Musselburgh Broke,Scotland,Knops,6,,,
Peroni Double Malt,Italy,Peroni (SABMiller),7,,,"Good malt character, nice beer."
Colony of Artists (Edinburgh Gold),Scotland,Stewart,7,,,
Er Boqueron,Spain,Cervesa Artesanal La Socarrada,7,,,Not as salty as expected; pleasant overall.
Lister No. 8,Scotland,Stewart?,4,,,
Doom Bar,England,Sharps (MolsonCoors),6,,,
Toasted Oak IPA,Scotland,Innis & Gunn @ Wellpark (C&C Group),7,,,"Good character, toasted flavour is obvious."
Sunburst Imperial Pilsner,Scotland,Inveralmond,7,,,Very crisp.
Red Stripe,Jamaica,Desnoes & Geddes (Diageo PLC),7,,,"On draft, surprisingly good! Nice flavour."
Dead Pony Club,Scotland,BrewDog,7,,,
Deuchars IPA,Scotland,Caledonian (Heineken),6,,,
Skeleton Blues,Scotland,Stewart,6,,,
Moinette Biologique,Belgium,Dupont,7,,,"Very fresh, as expected. Decent."
Bethnal Pale Ale,England,Redchurch,7,,,
Kriek Lambic,Belgium,Timmermans (John Martin),8,,,Not too sweet; overall rich and satisfying.
Maclachlan's Best Ale,England,MolsonCoors,6,,,
Guinness Golden Ale,Ireland,St. James’s Gate (Diageo),,,,Almost tasteless (but I had the cold!)
Velkopopovicky Kozel,Czech Republic,,,,,"Poor, generic taste."
Pilot Ice Tea,Scotland,Pilot,7,,,Well-rounded and very refreshing.
Hiver Honey Beer,England,Hepworth,7,,,Honey not too dominant. Just the right balance. Well made!
Vergina,Greece,Macedonian Thrace,5,,,Wasn't very impressed.
Fix Hellas,Greece,Olympic,6,,,Ok hot-weather lager.
Mythos,Greece,Mythos (Carlsberg),5,,,Ok hot-weather lager.
Alfa,Greece,Athenian (Heineken),5,,,Ok hot-weather lager.
Fix Royale Weiss,Greece,Olympic,7,,,Surprisingly good - nice banana flavour.
Alfa Weiss,Greece,Athenian (Heineken),7,,,"Inconsistent, but the best one was very nice indeed!"
Cuvee des Jonquilles,France,Au Baron (Bailleux),8,,,Lives up to the hype - good!
Westvleteren XII,Belgium,Westvleteren Abdij St. Sixtus,10,,,"Dark, rich, complex, sublime."
Vedett Extra White,Belgium,Duvel Moortgat,7,,,Light but decent wheat beer.
Affligem Dubbel,Belgium,Affligem (Heineken),8,,,"Rich, creamy taste. Good!"
Akerbeltz Ambrée,France,Akerbeltz,6,,,Pleasant amber. Artisanal taste.
Akerbeltz Blanche,France,Akerbeltz,6,,,Was very crisp and citrussy like grapefruit.
Akerbeltz Blonde,France,Akerbeltz,6,,,A bit like the blanche. Pleasant also.
EKI,France,Pays Basque @ Meteor,6,,,"Drank after uphill walk, yet still tasted like a good quality lager."
Keler Lager,Spain,Damm,7,,,"Very crisp, refreshing. Pleasant taste."
Turia,Spain,Damm,6,,,"Clean, crisp, decent lager"
Ambar,Spain,La Zaragozana,6,,,
Estrella Galicia,Spain,Hijos de Rivera,6,,,"Crisp, slightly creamy lager. Strong malt aftertaste."
San Fermin,Spain,San Fermin,6,,,
Napar Pale Ale,Spain,Naparbier,7,,,
San Miguel,Spain,Carlsberg,6,,,Has more flavour than expected and a bit of character. In the heat after a walk was very pleasant.
1906 Reserva Especial,Spain,Hijos de Rivera,7,,,"Malty, rich taste. Like a darker, more sophisticated lager."
Marbel,Spain,Cerveza Marbel,,,,Carried for  many miles since Pamplona in blazing sun. Tasted  bit wierd with solid sediment so may have been off!
Gary & Esti,Spain,GaragArt,7,,,Had some really interesting flavours here. Enjoyed even though drank out of an almost warm bottle. I'm very keen to try again chilled/draft.
Kiskale Brown Ale,Spain,Laugar,7,,,Very drinkable and well balanced with good malt character.
Mahou Clasica,Spain,Mahou (Grupo Mahou-San Miguel),5,,,"Average drinkable lager, nothing particularly bad. Will happily drink again in the sun."
La Socarrada,Spain,Cervesa Artisanal La Socarrada,7,,,"Fragrant, drinkable aromatic. Nice, mild flavour from the honey. Pleasant."
Mahou Cinq Estrellas,Spain,Mahou (Grupo Mahou-San Miguel),6,,,Standard lager but with a bit more character than the standard Mahou. Highly drinkable.
San Miguel Selecta,Spain,San Miguel (Grupo Mahou-San Miguel),5,,,Like San Miguel but richer. Ok but has a bitter malty taste which lets it down.
Marlen,Spain,La Zaragozana,6,,,"Pale lager, which I found to be refreshing and above average."
Ambar 1900 Pale Ale,Spain,La Zaragozana,6,,,"Crisp, refreshing, full-bodied. Above average by Spanish standards."
Dia Lager,Spain,Alhambra (Grupo Mahou-San Miguel),5,,,Cheap supermarket lager - was thirst quenching and better than I expected.
Cruzcampo,Spain,Cruzcampo (Heineken),4,,,Ordinary drinkable lager. Notably better on draft.
Tongerlo,Belgium,Haacht,7,,,Solid Belgian dubbel but not quite rubbing shoulders with the best Belgium has to offer.
Kasteel Donker,Belgium,Van Honsebrouck,7,,,"Rich, very strong and super sweet. Sweetest beer I've tasted. Great in small quantities."
Ambar Export,Spain,La Zaragozana,6,,,Tastes like a lager on steroids. Quite drinkable and good.
Voll-Damm Doble Malta,Spain,Damm,7,,,Good quality malty-flavoured beer.
Brown/Jackie,Denmark,Mikkeller @ De Proefbrouwerij,7,,,"Coffee/ chocolate notes, very smooth and full-bodied, with healthy head. Very good."
Judas,Belgium,Alken-Maes (Heineken),8,,,"Solid blonde ale, lives up to the expectations of a typical Belgian blonde."
1906 Red Vintage,Spain,Hijos de Rivera,7,,,"Strong red ale, went down very well. Easily one of the best from Spain."
Stellae Session IPA,Spain,Compañia Cervecera Peregrina,7,,,"Surprisingly good, coming from Spain. Hoppy IPA full of character and a great example of what ""craft"" beer should be."
Camden vs Petrus Stout,England,Camden Town / Bavik-De Brabandere,8,,,"Smooth, strong stout with a pleasant flavour. Very drinkable."
Mateo & Bernabé 21,Spain,Mateo & Bernabé,6,,,"A decent and refreshing weiss but like the others, seemingly more style over substance."
Sagres,Portugal,Sociedade Central de Cervejas e Bebidas (Heineken),5,,,"Drinkable, straightforward lager."
Cannabia,Czech Republic,Kronenbrauerei Wahl,4,,,Drinkable & refreshing with a slightly herbal taste. Overall was a bit anaemic and disappointing.
La Saint Malo,France,Les Brassins des Saint-Malo,4,,,C'est bizarre! Tastes salty and sour - hard to know if it's supposed to be that way or is slightly off. Strangely drinkable though. I want to sample fresh on draught!
Renaissance Abundance,New Zealand,Renaissance,7,,,"Couldn't really taste cherries but it was very smooth with nice burnt, toasted flavours."
Jever Pilsner,Germany,Jever (Oetker Group),7,,,"Crisp, clean pilsner. Pleasant flavour."
Padrino Porter,Spain,Edge Brewing Barcelona,8,,,Well-rounded and smooth porter. Impressive.
Samuel Smith Pale Ale,England,Samuel Smith,8,,,Somehow surprised at the quality. Tasted organic and fresh with an excellent overall balance.
Mikkeller Berliner,Denmark,Mikkeller @ De Proefbrouwerij,8,,,"Very crisp & refreshing, and low ABV. Very good."
Corsendonk Dubbel,Belgium,Corsendonk @ Du Bocq,7,,,Decent dubbel with high carbonation.
Omer,Belgium,Omer Vander Ghinste (Bockor),,,,
Modelo,Mexico,Grupo Modelo (Corona),,,,
Milk Stout,England,Bristol Beer Factory,8,,,"Smooth, rich."
Saison Voisin,Belgium,Des Géants (Des Légendes),7,,,"Hoppy, dry saison."
Amuse Bouche,England,Wild Beer,3,,,"Bitter, harsh, fruity."
Dia De Los Muertos Pay the Ferryman Porter,Mexico,Cervecería Mexicana (Grupo Modelo),7,,,"Coffee, fruity, slightly watery."
Stewart Pumpkin Ale,Scotland,Stewart,7,,,
March of the Penguins,Scotland,Williams Bros.,7,,,"Smooth, coffee, creamy."
Schiehallion,Scotland,Harviestoun,7,,,"Crisp, hoppy, malty."
Archerfield IPA,Scotland,Archerfield Fine Ales,6,,,Nice but not outstanding. There are better IPAs out there with more character.
Jarl,Scotland,Fyne Ales,7,,,Pale ale with rich malty character.
The Ridge,Scotland,Harviestoun,7,,,"Great, slightly fruity taste."
Old Engine Oil,Scotland,Harviestoun,,,,
Niblick Lager,Scotland,UNKNOWN,6,,,"Quite a refreshing, malty lager. Made for the Golf Inn?"
Cantillon Kriek,Belgium,Cantillon,7,,,"Highly carbonated; tart, sour taste, rich red colour. Took a little while, but I grew to really enjoy it."
Ceriux,Spain,Cervecera Artesana (Grupo Palacios Vinoteca),7,,,"Fresh, well carbonated. Slightly spiced flavour; overall a good flavour and a good beer. Want to try the others from this brewery."
Parking Beer C,Spain,Mateo & Bernabé,6,,,"Citrusy, dry, hoppy beer, with potent smell and light, cloudy appearance. Quite good."
Er Boqueron,Spain,Cervesa Artesanal La Socarrada,7,,,"Good foam, cloudy with salt in the sediment. Pleasant light taste with the sea salt barely noticeable but there's definitely a hint there. Pretty enjoyable beer."
Apocalypse Now,France,Sainte Crucienne,7,,,"Strong brown beer, with rich caramel flavour. Bitter alcohol taste at the end but overall good."
Freshie,Australia,Nomad Brewing Co.,8,,,"No head, very flat yet very drinkable with a very agreeable flavour. Salt & pepper were very subtle. Really enjoyed it."
Figpucker,Scotland,,5,,,"A ""farmhouse ale"", with honey and figs. Interesting concept, with the ingredients subtly present in the flavour and a dominant malty tast - but poor balance."
Waitrose Belgian Blonde,Belgium,Waitrose @ Du Bocq,8,,,"Surprisingly good for a supermarket brand beer, but it is brewed in Belgium. Very fresh & crisp, with nice flavour. Good blonde!"
Dolina,Spain,Cerveza Dolina,6,,,"Fruity smell, this Spanish take on a Belgian dubbel has quite a nice rich taste, but it seems obvious that it's not quite as good as the real deal."
Lindemans Cassis,Belgium,Lindemans,9,,,A perfect balance of sweetness/tartness make this rich fruit beer a real joy. Excellent flavour leaves you wanting more.
Beer & Skittles Lager,Scotland,UNKNOWN,6,,,Decent lager.
Big Ben,England,Thwaites,6,,,Ok brown ale.. A bit too strong in the alcohol department to be a standout but otherwise not bad.
Faro Girardin,Belgium,Girardin,7,,,"Sweeti-sh, sour-ish, geuze-ish beer. Decent quality and enjoyable."
Lindemans Kriek,Belgium,Lindemans,7,,,"Quite a sweet cheery beer. I preferred the cassis, but this one's still enjoyable - but tends towards tasting like fruit juice. "
Maredsous Brune,Belgium,Duvel Moortgat,8,,,"Fruity, rich brown beer, which hides its strength well. Sweet taste but overall a very enjoyable beer,"
Thornbridge Imperial Stout,England,Thornbridge / S:t Eriks,3,,,"Definitely a taste of raspberries and I can appreciate the intention, but what ruins this for me is the strong alcohol taste. I wish this was 3% weaker - such a shame as could be great. Simply didn't enjoy it. "
Colomba,France,Pietra,7,,,"Impeccably smooth & refreshing, this doesn't have a great deal of flavour but is pretty nice."
Virtus,Spain,Cervezas Virtus,7,,,"Fresh, well-carbonated wheat beer with a dry finish. Quite enjoyable. Good beer."
Beer Geek Breakfast,Denmark,Mikkeller @ Lervig Aktiebryggeri,7,,,Dark & heavy with a strong coffee taste. Wasn't sure at first but towards the end of the bottle started to enjoy more. Would indeed be nice at breakfast! Must try then.
Moretti La Rossa,Italy,Heineken,7,,,Nice malted beer. Good mouthfeel.
Staropramen,Czech Republic,Staropramen (MolsonCoors),6,,,Pleasant lager but doesn't stand out particularly.
Liefmans Cuvée Brut,Belgium,Liefmans (Duvel Moortgat),9,,,"Rich, dark cherry beer. Great balance, fruity and just very enjoyable. Lovely!"
Viru,Lithuania,A. Le Coq (Olvi),,,,
Moinette Brune,Belgium,Dupont,9,,,Dark beer with rich and complex flavour. Reminds me of Carolus Classic. Excellent.
Mea Culpa Blonde,Belgium,Van Steenberge,9,,,"Herbal, peppery, spiced blond with a smooth and creamy texture, served in a funny glass. Very enjoyable indeed!"
St Feuillien Blonde,Belgium,St-Feuillien,8,,,"Good, solid satisfying blonde with slightly peppery taste."
Arend Dubbel,Belgium,De Ryck,7,,,"Wasn't sure at first; sweet and fruity but the flavour balance didn't seem great. A couple of glasses later and it convinced me that it was indeed an enjoyable beer, despite there being many superior ones out there."
Corsendonk Xmas,Belgium,Corsendonk @ Du Bocq,8,,,"Very dark, rich, slightly spiced ale. Great winter warmer and good quality beer."
Jupiler,Belgium,Piedboeuf (AB InBev),6,,,"Mainstream lager, but not bad by world standards. Decent malty character and good texture.."
Efes Draft,Turkey,Anadolu Efes,3,,,"Tastes somehow incomplete, is a bit like fizzy water with a touch of honey. Not a good beer."
Wildcard Blonde,England,Wild Card,7,,,"Good quality blonde, a bit hoppy. Nice."
Sam Smith's Imperial Stout,England,Samuel Smith,8,,,"Bold, rich stout with chocolatey flavour. Smooth and with excellent balance, this is a very good imperial stout. "
Sam Smith's Nut Brown Ale,England,Samuel Smith,8,,,"Does what it says on the tin - it's brown in colour and tastes of nuts. An impressive creation, very nice indeed."
Stravaigin,Scotland,Williams Bros. / Stillwater Artisanal,7,,,"Fruity, herbal, light and refreshing. Very nice."
Morar Monster,Scotland,UNKNOWN,6,,,Very smooth and velvety with a nice malty flavour.
Traquair,Scotland,Traquair House,7,,,"Dark, strong ale with complex flavour, mainly liquorice. Quite a unique taste, decent."
Sharp's Pilsner,England,Sharps (MolsonCoors),7,,,"Very crisp, with complexity in the flavour, mainly dominated by citrus. Impressive."
Ola Dubh 18,Scotland,Harviestoun,8,,,"Strong black ale, with the taste of the whisky obvious. Overall the balance is excellent; the beer has a nice rich sweetness to it, together with the malts providing a great depth."
X.XI,France,Lancelot,8,,,"A decent barley wine, with the alcohol strength well disguised. The taste is rich and deep, and it's well balanced. Very nice."
Sam Smith's Wheat,England,Samuel Smith,7,,,"A good wheat beer with typical flavours of banana etc. However, overshadowed by the quality of the German wheats. Still, a solid, refreshing effort."
Achel Blonde,Belgium,Trappistenabdij De Achelse Kluis,9,,,"Fruity, dry, hoppy blonde. Doesn't taste strong and has great balance. Great!"
St Bernardus Triple,Belgium,St. Bernardus,8,,,Great quality triple. Softer than the Achel but similar. Almost perfectly formed.
