Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Dorée,France,Sainte Colombe,6,,,
Pale Ale,France,Guernouillette,0,,,Out of date! would like to try again.
McChouffe,Belgium,D'Achouffe,8,,,"Really nice, rich brown ale. One of the best in the world surely."
Blanche,France,Guernouillette,0,akerbeltz-blanche;blanche-hermine (2);blanche-hermine;griffonne-blanche-harmonique,griffonne-blanche-harmonique,Out of date! would like to try again.
Red Eye Flight,Scotland,Tempest,7,red-eye-flight;munich-red;red-squirrel,red-eye-flight,"Very good mocha porter; rich flavour, strong and smooth."
Kasteel Tripel,Belgium,Van Honsebroucke,7,kasteel-tripel;affligem-tripel;duvel-tripel-hop;westmalle-tripel,kasteel-tripel,"Very strong ale, quite sweet but not overwhelming. Really powerful flavour/alcohol."
Mor Braz Blonde,France,Mor Braz,5,mor-braz;akerbeltz-blonde;coreff-blonde;drao-blonde;jenlain-blonde;kerblei-blonde;lancelot-blonde;sans-culottes-blonde-legere;sans-culottes-blonde;terenez-blonde,mor-braz,Interesting caramel taste. Was warm so would like to try again. 
Fosters,Australia,Royal (Heineken),4,fosters,fosters,Not as bad as expected. Very drinkable with some malt in the flavour but otherwise not a lot.
Blanche de Namur,Belgium,Du Bocq,7,blanche-de-namur-rosee;blanche-de-namur;de-koninck;fantome-blanche;noir-de-dottignies,blanche-de-namur-rosee,Solid world-renowned wheat beer. Does it live up to expectations? Probably not but still very refreshing and enjoyable.
Beer 2014,England,Camden Town,8,beer-2014;wild-beer-fresh,beer-2014,"Strong smoked lager. Got a fairly unique taste, which is a very pleasant one indeed."
Duvel Tripel Hop,Belgium,Duvel Moortgat,9,duvel-tripel-hop;affligem-tripel;duvel;kasteel-tripel;westmalle-tripel,duvel-tripel-hop,The balance on this one was excellent! Not too hoppy despite the name. A really great beer which I find to be near perfect.
Saison Dupont Biologique,Belgium,Dupont,7,saison-dupont-biologique;saison-dupont;moinette-biologique;silly-saison,saison-dupont-biologique,"Pretty good, with a very fresh organic taste."
Terenez Blonde,France,Bout du Monde,7,terenez-blonde;akerbeltz-blonde;coreff-blonde;drao-blonde;jenlain-blonde;kerblei-blonde;lancelot-blonde;sans-culottes-blonde-legere;sans-culottes-blonde,terenez-blonde,"Nice neat label and the beer matches it. Nice rich, clean flavour and great carbonation. Very good."
Petrus Brune,Belgium,Bavik-De Brabandere,8,achel-brune;maredsous-brune;moinette-brune;petrus-blond;petrus-dubbel-bruin;st-feuillien-brune;tongerlo-brune,petrus-dubbel-bruin,Rich.
Bellerose,France,Des Sources,8,bellerose,bellerose,"Quite a strong French blonde, very satisfying. One of my favourite French beers."
Bia'5 Bière,Scotland,Bia Bistrot @ Stewart,6,bia'5-biere,bia'5-biere,"Slightly hoppy, unbalanced yet satisfying."
Knops IPA,Scotland,Knops,7,knops-ipa,knops-ipa,Well-rounded.
Fix Dark,Greece,Olympic,6,fix-dark;fix-royale;fix,fix-dark,Surprisingly enjoyable.
Trompe Souris,France,Divatte,5,trompe-souris,trompe-souris,"Disjointed, amateur."
Captain Moore IPA,France,Du Tonnelier,6,captain-moore-ipa,captain-moore-ipa,"Surprisingly solid, enjoyable."
Secret Herb Garden Pale Ale,Scotland,Secret Herb Garden @ Top Out,6,shg-pale-ale;archerfield-golden-ale;starlaw-pale,shg-pale-ale,
Alba Scots Pine Ale,Scotland,Williams Bros.,8,archerfield-golden-ale;shg-pale-ale,,Rich pine flavour.
La Rose des Vents,France,Du Tonnelier,6,la-rose-des-vents;cuvee-des-jonquilles;la-goudale;la-port-malo;la-saint-malo;spoum-des-talus,la-rose-des-vents,
Old Speckled Hen,England,Greene King,6,old-speckled-hen,old-speckled-hen,Reliable brown ale.
Stella Artois,Belgium,AB InBev,5,stella-artois,stella-artois,"Lifeless, disappointing."
Gentleman's Wit,England,Camden Town,8,gentlemans-wit,gentlemans-wit,"Rich, refreshing & interesting."
Black Friday,England,Camden Town,6,,,
Camden Pilsner,England,Camden Town,6,camden-v-petrus;camden-various;sharps-pilsner,camden-various,
India Hells Lager,England,Camden Town,8,india-hells-lager;hells-lager,india-hells-lager,Great balance and head/body. A hoppy lager but balanced well. A pleasure to drink!
Hells Lager (Unfiltered),England,Camden Town,8,hells-lager;india-hells-lager,hells-lager,Far more interesting flavour. Very good.
Camden Stout,England,Camden Town,7,camden-v-petrus;camden-various;samuel-smith-imperial-stout,camden-various,
KEO,Greece,KEO,5,,,Unremarkable.
Sleeping Warrior,Scotland,Arran,6,sleeping-warrior,sleeping-warrior,"Strong, rich yet unfinished or would need time to mature?"
Hackney Session IPA,England,Hackney,6,hackney-ipa,hackney-ipa,
Hells Lager ,England,Camden Town,6,hells-lager;india-hells-lager,hells-lager,"Decent lager, but not great."
Fireside,Scotland,Arran,6,arran-fireside,arran-fireside,Interesting ginger flavour.
Celebrator,Germany,Aying,9,celebrator,celebrator,"Sublime, dark, great character."
Shoreditch Blonde,England,Redchurch,7,shoreditch-blonde,shoreditch-blonde,Solid and interesting blonde.
Sans Culottes L'Ambrée,France,La Choulette,7,sans-culottes-ambree;sans-culottes-blonde-legere;sans-culottes-blonde;sans-culottes-l'ambree,sans-culottes-ambree,Strong but nice taste and moreish!
Goose Island IPA,USA,Goose Island Beer Co.,7,goose-island-ipa,goose-island-ipa,
Bitter & Twisted,Scotland,Harviestoun,6,,,
Drygate Apple,Scotland,Drygate,8,,,"Very pleasant, apple balanced well with the beer."
Brooklyn Lager,USA,Brooklyn,8,,,"High quality lager, most enjoyable."
Black Cork,Scotland,Knops,6,black-cork;belhaven-black;black-ball-stout;black-isle-scotch,black-cork,Slightly disappointing but still nice.
Vedett Extra Blond,Belgium,Duvel Moortgat,7,vedett-extra-blond;vedett-extra-white;daas-blond;mea-culpa-blond;petrus-blond;vedett-ipa,vedett-extra-blond,
Archerfield Golden Ale,Scotland,Archerfield,7,archerfield-golden-ale;archerfield-dark;shg-pale-ale,archerfield-golden-ale,Good quality ale; refreshing.
III,Scotland,Cromarty,8,cromarty-III,cromarty-III,Drank from bottle but still enjoyable. Rich taste.
Budweiser,USA,AB InBev,5,budweiser,budweiser,
Williams Draught,Scotland,Williams Bros.,7,,,Pleasant and refreshing. Good on draft.
Kronenbourg 1664,France,Kronenbourg (Carlsberg),7,kronenbourg-1664;1664-blanc,kronenbourg-1664,One of the better widely available beers.
Duchess Anne Triple,France,Lancelot,7,duchesse-anne-triple-hops;duchesse-anne,duchesse-anne,"Quite good, strong but great taste."
Orval,Belgium,Orval,6,orval,orval,Very dry and bitter. Enjoyed towards end but still unsure.
Black Isle Blonde,Scotland,Black Isle,7,black-isle-scotch;arran-blonde;belhaven-black;black-ball-stout;black-cork;leven-blonde;sanda-blonde,,Another good quality blonde on draft.
Milestone Special Reserve,Scotland,Arran,6,milestone,milestone,Slightly vinegary and amateurish but otherwise nice.
Blue Moon,USA,Coors Brewing Co. (MillerCoors),7,blue-moon,blue-moon,Quite sweet and smooth. Pleasant.
Barney's Red Rye,Scotland,Barney's,6,munich-red;red-eye-flight;red-squirrel,,
Barney's IPA,Scotland,Barney's,7,knops-ipa,,"Not too strong, has a great flavour."
Drygate IPA,Scotland,Drygate,7,knops-ipa,,
Becks,Germany,Beck's (AB InBev),6,,,
Amarillo,Scotland,De Mollen,9,,,An excellent strong IPA. Perfect?
Edinburgh Festival,Scotland,Stewart,7,edinburgh-festival;edinburgh-gold,edinburgh-festival,
East Coast IPA,England,Greene King,7,east-coast;hackney-ipa,east-coast,
Hipsway,Scotland,Williams Bros.,7,hipsway,hipsway,"Subtle strawberry taste, all round nice beer."
Kelpie,Scotland,Williams Bros.,7,kelpie,kelpie,
Musselburgh Broke,Scotland,Knops,6,musselburgh-broke,musselburgh-broke,
Peroni Double Malt,Italy,Peroni (SABMiller),7,peroni-doppio-malto;peroni,peroni-doppio-malto,"Good malt character, nice beer."
Colony of Artists (Edinburgh Gold),Scotland,Stewart,7,colony-of-artists,colony-of-artists,
Er Boqueron,Spain,Cervesa Artesanal La Socarrada,7,er-boqueron,er-boqueron,Not as salty as expected; pleasant overall.
Lister No. 8,Scotland,Stewart?,4,lister-no-8,lister-no-8,
Doom Bar,England,Sharps (MolsonCoors),6,doom-bar,doom-bar,
Toasted Oak IPA,Scotland,Innis & Gunn @ Wellpark (C&C Group),7,i-g-oak;knops-ipa;speyside-oak-aged,i-g-oak,"Good character, toasted flavour is obvious."
Sunburst Imperial Pilsner,Scotland,Inveralmond,7,leven-pilsner,,Very crisp.
Red Stripe,Jamaica,Desnoes & Geddes (Diageo PLC),7,,,"On draft, surprisingly good! Nice flavour."
Dead Pony Club,Scotland,BrewDog,7,,,
Deuchars IPA,Scotland,Caledonian (Heineken),6,deuchars;knops-ipa,deuchars,
Skeleton Blues,Scotland,Stewart,6,skeleton-blues,skeleton-blues,
Moinette Biologique,Belgium,Dupont,7,moinette-biologique;moinette-brune;saison-dupont-biologique,moinette-biologique,"Very fresh, as expected. Decent."
Bethnal Pale Ale,England,Redchurch,7,kernel-pale-ale;bethnal;samuel-smith-pale,bethnal,
Kriek Lambic,Belgium,Timmermans (John Martin),8,kriek-boon;kriek-mariage-parfait;liefmans-kriek-brut;lindemans-kriek;timmermans-kriek,timmermans-kriek,Not too sweet; overall rich and satisfying.
Maclachlan's Best Ale,England,MolsonCoors,6,kernel-pale-ale;st-peters-best-bitter,,
Guinness Golden Ale,Ireland,St. James’s Gate (Diageo),0,,,Almost tasteless (but I had the cold!)
Velkopopovicky Kozel,Czech Republic,,0,kozel,kozel,"Poor, generic taste."
Pilot Ice Tea,Scotland,Pilot,7,ice-tea,ice-tea,Well-rounded and very refreshing.
Hiver Honey Beer,England,Hepworth,7,beer-2014;hiver;wild-beer-fresh,hiver,Honey not too dominant. Just the right balance. Well made!
Vergina,Greece,Macedonian Thrace,5,vergina,vergina,Wasn't very impressed.
Fix Hellas,Greece,Olympic,6,fix-dark;fix-royale;fix,fix,Ok hot-weather lager.
Mythos,Greece,Mythos (Carlsberg),5,mythos-bottle;mythos-can,mythos-bottle,Ok hot-weather lager.
Alfa,Greece,Athenian (Heineken),5,alfa-indoors;alfa-weiss;alfa,alfa-indoors,Ok hot-weather lager.
Fix Royale Weiss,Greece,Olympic,7,fix-royale;alfa-weiss;fix-dark;fix,fix-royale,Surprisingly good - nice banana flavour.
Alfa Weiss,Greece,Athenian (Heineken),7,alfa-weiss;alfa-indoors;alfa,alfa-weiss,"Inconsistent, but the best one was very nice indeed!"
Cuvee des Jonquilles,France,Au Baron (Bailleux),8,cuvee-des-jonquilles;la-rose-des-vents;spoum-des-talus,cuvee-des-jonquilles,Lives up to the hype - good!
Westvleteren XII,Belgium,Westvleteren Abdij St. Sixtus,10,westvleteren-xii;westvletern-xii,westvleteren-xii,"Dark, rich, complex, sublime."
Vedett Extra White,Belgium,Duvel Moortgat,7,vedett-extra-white;vedett-extra-blond;fantome-dark-white;vedett-ipa,vedett-extra-white,Light but decent wheat beer.
Affligem Dubbel,Belgium,Affligem (Heineken),8,affligem-blonde;affligem-tripel;arend-dubbel;petrus-dubbel-bruin;westmalle-dubbel,,"Rich, creamy taste. Good!"
Akerbeltz Ambrée,France,Akerbeltz,6,akerbeltz-ambree;akerbeltz-blanche;akerbeltz-blonde,akerbeltz-ambree,Pleasant amber. Artisanal taste.
Akerbeltz Blanche,France,Akerbeltz,6,akerbeltz-blanche;akerbeltz-ambree;akerbeltz-blonde;blanche-hermine (2);blanche-hermine;griffonne-blanche-harmonique,akerbeltz-blanche,Was very crisp and citrussy like grapefruit.
Akerbeltz Blonde,France,Akerbeltz,6,akerbeltz-blonde;akerbeltz-ambree;akerbeltz-blanche;coreff-blonde;drao-blonde;jenlain-blonde;kerblei-blonde;lancelot-blonde;sans-culottes-blonde-legere;sans-culottes-blonde;terenez-blonde,akerbeltz-blonde,A bit like the blanche. Pleasant also.
EKI,France,Pays Basque @ Meteor,6,,,"Drank after uphill walk, yet still tasted like a good quality lager."
Keler Lager,Spain,Damm,7,dia-lager;keler-18,keler-18,"Very crisp, refreshing. Pleasant taste."
Turia,Spain,Damm,6,turia,turia,"Clean, crisp, decent lager"
Ambar,Spain,La Zaragozana,6,ambar-1900;ambar,ambar,
Estrella Galicia,Spain,Hijos de Rivera,6,estrella,estrella,"Crisp, slightly creamy lager. Strong malt aftertaste."
San Fermin,Spain,San Fermin,6,san-miguel-...,,
Napar Pale Ale,Spain,Naparbier,7,,,
San Miguel,Spain,Carlsberg,6,san-miguel-...,san-miguel-...,Has more flavour than expected and a bit of character. In the heat after a walk was very pleasant.
1906 Reserva Especial,Spain,Hijos de Rivera,7,1906-red,1906-red,"Malty, rich taste. Like a darker, more sophisticated lager."
Marbel,Spain,Cerveza Marbel,0,marbel,marbel,Carried for  many miles since Pamplona in blazing sun. Tasted  bit wierd with solid sediment so may have been off!
Gary & Esti,Spain,GaragArt,7,gary-and-esti,gary-and-esti,Had some really interesting flavours here. Enjoyed even though drank out of an almost warm bottle. I'm very keen to try again chilled/draft.
Kiskale Brown Ale,Spain,Laugar,7,kiskale,kiskale,Very drinkable and well balanced with good malt character.
Mahou Clasica,Spain,Mahou (Grupo Mahou-San Miguel),5,mahou-clasica;mahou-original,mahou-clasica,"Average drinkable lager, nothing particularly bad. Will happily drink again in the sun."
La Socarrada,Spain,Cervesa Artisanal La Socarrada,7,la-socarrada,la-socarrada,"Fragrant, drinkable aromatic. Nice, mild flavour from the honey. Pleasant."
Mahou Cinq Estrellas,Spain,Mahou (Grupo Mahou-San Miguel),6,mahou-clasica;mahou-original,,Standard lager but with a bit more character than the standard Mahou. Highly drinkable.
San Miguel Selecta,Spain,San Miguel (Grupo Mahou-San Miguel),5,san-miguel-...,,Like San Miguel but richer. Ok but has a bitter malty taste which lets it down.
Marlen,Spain,La Zaragozana,6,marlen,marlen,"Pale lager, which I found to be refreshing and above average."
Ambar 1900 Pale Ale,Spain,La Zaragozana,6,ambar-1900;ambar,ambar-1900,"Crisp, refreshing, full-bodied. Above average by Spanish standards."
Dia Lager,Spain,Alhambra (Grupo Mahou-San Miguel),5,dia-lager,dia-lager,Cheap supermarket lager - was thirst quenching and better than I expected.
Cruzcampo,Spain,Cruzcampo (Heineken),4,cruzcampo,cruzcampo,Ordinary drinkable lager. Notably better on draft.
Tongerlo,Belgium,Haacht,7,tongerlo-brune,tongerlo-brune,Solid Belgian dubbel but not quite rubbing shoulders with the best Belgium has to offer.
Kasteel Donker,Belgium,Van Honsebrouck,7,kasteel-tripel,,"Rich, very strong and super sweet. Sweetest beer I've tasted. Great in small quantities."
Ambar Export,Spain,La Zaragozana,6,ambar-1900;ambar;amber-export,amber-export,Tastes like a lager on steroids. Quite drinkable and good.
Voll-Damm Doble Malta,Spain,Damm,7,,,Good quality malty-flavoured beer.
Brown/Jackie,Denmark,Mikkeller @ De Proefbrouwerij,7,,,"Coffee/ chocolate notes, very smooth and full-bodied, with healthy head. Very good."
Judas,Belgium,Alken-Maes (Heineken),8,judas,judas,"Solid blonde ale, lives up to the expectations of a typical Belgian blonde."
1906 Red Vintage,Spain,Hijos de Rivera,7,1906-red,1906-red,"Strong red ale, went down very well. Easily one of the best from Spain."
Stellae Session IPA,Spain,Compañia Cervecera Peregrina,7,stellae-ipa,stellae-ipa,"Surprisingly good, coming from Spain. Hoppy IPA full of character and a great example of what ""craft"" beer should be."
